"yaw [deg], yaw_time [ms], yaw_crc"
"-433.93,4,-429.93"
"-433.93,19,-414.93"
"-433.93,34,-399.93"
"-433.93,49,-384.93"
"-433.93,64,-369.93"
"-433.93,79,-354.93"
"-433.93,94,-339.93"
"-433.93,109,-324.93"
"-433.93,124,-309.93"
"-433.93,139,-294.93"
"-433.93,154,-279.93"
"-433.93,169,-264.93"
"-433.93,184,-249.93"
"-433.93,199,-234.93"
"-433.93,214,-219.93"
"-433.93,229,-204.93"
"-433.93,244,-189.93"
"-433.93,259,-174.93"
"-433.93,274,-159.93"
"-433.93,289,-144.93"
"-433.93,304,-129.93"
"-433.93,319,-114.93"
"-433.93,334,-99.93"
"-433.93,349,-84.93"
"-433.93,364,-69.93"
"-433.93,379,-54.93"
"-433.93,394,-39.93"
"-433.93,409,-24.93"
"-433.93,424,-9.93"
"-433.93,439,5.07"
"-433.93,454,20.07"
"-433.93,469,35.07"
"-433.93,484,50.07"
"-433.93,499,65.07"
"-433.93,514,80.07"
"-433.93,529,95.07"
"-433.93,544,110.07"
"-433.93,559,125.07"
"-433.93,574,140.07"
"-433.93,589,155.07"
"-433.93,604,170.07"
"-433.93,619,185.07"
"-433.93,634,200.07"
"-433.93,649,215.07"
"-433.93,664,230.07"
"-433.93,679,245.07"
"-433.93,694,260.07"
"-433.93,709,275.07"
"-433.93,724,290.07"
"-433.93,739,305.07"
"-433.93,754,320.07"
"-433.93,769,335.07"
"-433.93,784,350.07"
"-433.93,799,365.07"
"-433.93,814,380.07"
"-433.93,829,395.07"
"-433.93,844,410.07"
"-433.93,859,425.07"
"-433.93,874,440.07"
"-433.93,889,455.07"
"-433.93,904,470.07"
"-433.93,919,485.07"
"-433.93,934,500.07"
"-433.93,949,515.07"
"-433.93,964,530.07"
"-433.93,979,545.07"
"-433.93,994,560.07"
"-433.93,1009,575.07"
"-433.93,1024,590.07"
"-433.93,1039,605.07"
"-433.93,1054,620.07"
"-433.93,1069,635.07"
"-433.93,1084,650.07"
"-433.93,1099,665.07"
"-433.93,1114,680.07"
"-433.93,1129,695.07"
"-433.93,1144,710.07"
"-433.93,1159,725.07"
"-433.93,1174,740.07"
"-433.93,1189,755.07"
"-433.93,1204,770.07"
"-433.93,1219,785.07"
"-433.93,1234,800.07"
"-433.93,1249,815.07"
"-433.93,1264,830.07"
"-433.93,1279,845.07"
"-433.93,1294,860.07"
"-433.93,1309,875.07"
"-433.93,1324,890.07"
"-433.93,1339,905.07"
"-433.93,1354,920.07"
"-433.93,1369,935.07"
"-433.93,1384,950.07"
"-433.93,1399,965.07"
"-433.93,1414,980.07"
"-433.93,1429,995.07"
"-433.93,1444,1010.07"
"-433.93,1459,1025.07"
"-433.93,1474,1040.07"
"-433.93,1489,1055.07"
"-433.93,1504,1070.07"
"-433.93,1519,1085.07"
"-433.93,1534,1100.07"
"-433.93,1549,1115.07"
"-433.93,1564,1130.07"
"-433.93,1579,1145.07"
"-433.93,1594,1160.07"
"-433.93,1609,1175.07"
"-433.93,1624,1190.07"
"-433.93,1639,1205.07"
"-433.93,1654,1220.07"
"-433.93,1669,1235.07"
"-433.93,1684,1250.07"
"-433.93,1699,1265.07"
"-433.93,1714,1280.07"
"-433.93,1729,1295.07"
"-433.93,1744,1310.07"
"-433.93,1759,1325.07"
"-433.93,1774,1340.07"
"-433.93,1789,1355.07"
"-433.93,1804,1370.07"
"-433.93,1819,1385.07"
"-433.93,1834,1400.07"
"-433.93,1849,1415.07"
"-433.93,1864,1430.07"
"-433.93,1879,1445.07"
"-433.93,1894,1460.07"
"-433.93,1909,1475.07"
"-433.93,1924,1490.07"
"-433.93,1939,1505.07"
"-433.93,1954,1520.07"
"-433.93,1969,1535.07"
"-433.93,1984,1550.07"
"-433.93,1999,1565.07"
"-433.93,2014,1580.07"
"-433.93,2029,1595.07"
