"yaw [deg], yaw_time [ms], yaw_crc"
"-828.99,4,-824.99"
"-828.99,19,-809.99"
"-828.99,34,-794.99"
"-828.99,49,-779.99"
"-828.99,64,-764.99"
"-828.99,79,-749.99"
"-828.99,94,-734.99"
"-828.99,109,-719.99"
"-828.99,124,-704.99"
"-828.99,139,-689.99"
"-828.99,154,-674.99"
"-828.99,169,-659.99"
"-828.99,184,-644.99"
"-828.99,199,-629.99"
"-828.99,214,-614.99"
"-828.99,229,-599.99"
"-828.99,244,-584.99"
"-828.99,259,-569.99"
"-828.99,274,-554.99"
"-828.99,289,-539.99"
"-828.99,304,-524.99"
"-828.99,319,-509.99"
"-828.99,334,-494.99"
"-828.99,349,-479.99"
"-828.99,364,-464.99"
"-828.99,379,-449.99"
"-828.99,394,-434.99"
"-828.99,409,-419.99"
"-828.99,424,-404.99"
"-828.99,439,-389.99"
"-828.99,454,-374.99"
"-828.99,469,-359.99"
"-828.99,484,-344.99"
"-828.99,499,-329.99"
"-828.99,514,-314.99"
"-828.99,529,-299.99"
"-828.99,544,-284.99"
"-828.99,559,-269.99"
"-828.99,574,-254.99"
"-828.99,589,-239.99"
"-828.99,604,-224.99"
"-828.99,619,-209.99"
"-828.99,634,-194.99"
"-828.99,649,-179.99"
"-828.99,664,-164.99"
"-828.99,679,-149.99"
"-828.99,694,-134.99"
"-828.99,709,-119.99"
"-828.99,724,-104.99"
"-828.99,739,-89.99"
"-828.99,754,-74.99"
"-828.99,769,-59.99"
"-828.99,784,-44.99"
"-828.99,799,-29.99"
"-828.99,814,-14.99"
"-828.99,829,0.01"
"-828.99,844,15.01"
"-828.99,859,30.01"
"-828.99,874,45.01"
"-828.99,889,60.01"
"-828.99,904,75.01"
"-828.99,919,90.01"
"-828.99,934,105.01"
"-828.99,949,120.01"
"-828.99,964,135.01"
"-828.99,979,150.01"
"-828.99,994,165.01"
"-828.99,1009,180.01"
"-828.99,1024,195.01"
"-828.99,1039,210.01"
"-828.99,1054,225.01"
"-828.99,1069,240.01"
"-828.99,1084,255.01"
"-828.99,1099,270.01"
"-828.99,1114,285.01"
"-828.99,1129,300.01"
"-828.99,1144,315.01"
"-828.99,1159,330.01"
"-828.99,1174,345.01"
"-828.99,1189,360.01"
"-828.99,1204,375.01"
"-828.99,1219,390.01"
"-828.99,1234,405.01"
"-828.99,1249,420.01"
"-828.99,1264,435.01"
"-828.99,1279,450.01"
"-828.99,1294,465.01"
"-828.99,1309,480.01"
"-828.99,1324,495.01"
"-828.99,1339,510.01"
"-828.99,1354,525.01"
"-828.99,1369,540.01"
"-828.99,1384,555.01"
"-828.99,1399,570.01"
"-828.99,1414,585.01"
"-828.99,1429,600.01"
"-828.99,1444,615.01"
"-828.99,1459,630.01"
"-828.99,1474,645.01"
"-828.99,1489,660.01"
"-828.99,1504,675.01"
"-828.99,1519,690.01"
"-828.99,1534,705.01"
"-828.99,1549,720.01"
"-828.99,1564,735.01"
"-828.99,1579,750.01"
"-828.99,1594,765.01"
"-828.99,1609,780.01"
"-828.99,1624,795.01"
"-828.99,1639,810.01"
"-828.99,1654,825.01"
"-828.99,1669,840.01"
"-828.99,1684,855.01"
"-828.99,1699,870.01"
"-828.99,1714,885.01"
"-828.99,1729,900.01"
"-828.99,1744,915.01"
"-828.99,1759,930.01"
"-828.99,1774,945.01"
"-828.99,1789,960.01"
"-828.99,1804,975.01"
"-828.99,1819,990.01"
"-828.99,1834,1005.01"
"-828.99,1849,1020.01"
"-828.99,1864,1035.01"
"-828.99,1879,1050.01"
"-828.99,1894,1065.01"
"-828.99,1909,1080.01"
"-828.99,1924,1095.01"
"-828.99,1939,1110.01"
"-828.99,1954,1125.01"
"-828.99,1969,1140.01"
"-828.99,1984,1155.01"
"-828.99,1999,1170.01"
"-828.99,2014,1185.01"
"-828.99,2029,1200.01"
"-828.99,2044,1215.01"
"-828.99,2059,1230.01"
"-828.99,2074,1245.01"
"-828.99,2089,1260.01"
"-828.99,2104,1275.01"
"-828.99,2119,1290.01"
"-828.99,2134,1305.01"
"-828.99,2149,1320.01"
"-828.99,2164,1335.01"
"-828.99,2179,1350.01"
"-828.99,2194,1365.01"
"-828.99,2209,1380.01"
"-828.99,2224,1395.01"
"-828.99,2239,1410.01"
"-828.99,2254,1425.01"
"-828.99,2269,1440.01"
"-828.99,2284,1455.01"
"-828.99,2299,1470.01"
"-828.99,2314,1485.01"
"-828.99,2329,1500.01"
"-828.99,2344,1515.01"
"-828.99,2359,1530.01"
"-828.99,2374,1545.01"
"-828.99,2389,1560.01"
"-828.99,2404,1575.01"
"-828.99,2419,1590.01"
"-828.99,2434,1605.01"
"-828.99,2449,1620.01"
"-828.99,2464,1635.01"
"-828.99,2479,1650.01"
"-828.99,2494,1665.01"
"-828.99,2509,1680.01"
"-828.99,2524,1695.01"
"-828.99,2539,1710.01"
"-828.99,2554,1725.01"
"-828.99,2569,1740.01"
"-828.99,2584,1755.01"
"-828.99,2599,1770.01"
"-828.99,2614,1785.01"
"-828.99,2629,1800.01"
"-828.99,2644,1815.01"
"-828.99,2659,1830.01"
"-828.99,2674,1845.01"
"-828.99,2689,1860.01"
"-828.99,2704,1875.01"
"-828.99,2719,1890.01"
"-828.99,2734,1905.01"
"-828.99,2749,1920.01"
"-828.99,2764,1935.01"
"-828.99,2779,1950.01"
"-828.99,2794,1965.01"
"-828.99,2809,1980.01"
"-828.99,2824,1995.01"
"-828.99,2839,2010.01"
"-828.99,2854,2025.01"
"-828.99,2869,2040.01"
"-828.99,2884,2055.01"
"-828.99,2899,2070.01"
"-828.99,2914,2085.01"
"-828.99,2929,2100.01"
"-828.99,2944,2115.01"
"-828.99,2959,2130.01"
"-828.99,2974,2145.01"
"-828.99,2989,2160.01"
"-828.99,3004,2175.01"
"-828.99,3019,2190.01"
"-828.99,3034,2205.01"
"-828.99,3049,2220.01"
"-828.99,3064,2235.01"
"-828.99,3079,2250.01"
"-828.99,3094,2265.01"
"-828.99,3109,2280.01"
"-828.99,3124,2295.01"
"-828.99,3139,2310.01"
"-828.99,3154,2325.01"
"-828.99,3169,2340.01"
"-828.99,3184,2355.01"
"-828.99,3199,2370.01"
"-828.99,3214,2385.01"
"-828.99,3229,2400.01"
"-828.99,3244,2415.01"
"-828.99,3259,2430.01"
"-828.99,3274,2445.01"
"-828.99,3289,2460.01"
"-828.99,3304,2475.01"
"-828.99,3319,2490.01"
"-828.99,3334,2505.01"
"-828.99,3349,2520.01"
"-828.99,3364,2535.01"
"-828.99,3379,2550.01"
"-828.99,3394,2565.01"
"-828.99,3409,2580.01"
"-828.99,3424,2595.01"
"-828.99,3439,2610.01"
"-828.99,3454,2625.01"
"-828.99,3469,2640.01"
"-828.99,3484,2655.01"
"-828.99,3499,2670.01"
"-828.99,3514,2685.01"
"-828.99,3529,2700.01"
"-828.99,3544,2715.01"
"-828.99,3559,2730.01"
"-828.99,3574,2745.01"
"-828.99,3589,2760.01"
"-828.99,3604,2775.01"
"-828.99,3619,2790.01"
"-828.99,3634,2805.01"
"-828.99,3649,2820.01"
"-828.99,3664,2835.01"
"-828.99,3679,2850.01"
"-828.99,3694,2865.01"
"-828.99,3709,2880.01"
"-828.99,3724,2895.01"
"-828.99,3739,2910.01"
"-828.99,3754,2925.01"
"-828.99,3769,2940.01"
"-828.99,3784,2955.01"
"-828.99,3799,2970.01"
"-828.99,3814,2985.01"
"-828.99,3829,3000.01"
"-828.99,3844,3015.01"
"-828.99,3859,3030.01"
"-828.99,3874,3045.01"
"-828.99,3889,3060.01"
"-828.99,3904,3075.01"
