"yaw [deg], yaw_time [ms], yaw_crc"
"-459.88,5,-454.88"
"-459.88,20,-439.88"
"-459.88,35,-424.88"
"-459.88,50,-409.88"
"-459.88,65,-394.88"
"-459.88,80,-379.88"
"-459.88,95,-364.88"
"-459.88,110,-349.88"
"-459.88,125,-334.88"
"-459.88,140,-319.88"
"-459.88,155,-304.88"
"-459.88,170,-289.88"
"-459.88,185,-274.88"
"-459.88,200,-259.88"
"-459.88,215,-244.88"
"-459.88,230,-229.88"
"-459.88,245,-214.88"
"-459.88,260,-199.88"
"-459.88,275,-184.88"
"-459.88,290,-169.88"
"-459.88,305,-154.88"
"-459.88,320,-139.88"
"-459.88,335,-124.88"
"-459.88,350,-109.88"
"-459.88,365,-94.88"
"-459.88,380,-79.88"
"-459.88,395,-64.88"
"-459.88,410,-49.88"
"-459.88,425,-34.88"
"-459.88,440,-19.88"
"-459.88,455,-4.88"
"-459.88,470,10.12"
"-459.88,485,25.12"
"-459.88,500,40.12"
"-459.88,515,55.12"
"-459.88,530,70.12"
"-459.88,545,85.12"
"-459.88,560,100.12"
"-459.88,575,115.12"
"-459.88,590,130.12"
"-459.88,605,145.12"
"-459.88,620,160.12"
"-459.88,635,175.12"
"-459.88,650,190.12"
"-459.88,665,205.12"
"-459.88,680,220.12"
"-459.88,695,235.12"
"-459.88,710,250.12"
"-459.88,725,265.12"
"-459.88,740,280.12"
"-459.88,755,295.12"
"-459.88,770,310.12"
"-459.88,785,325.12"
"-459.88,800,340.12"
"-459.88,815,355.12"
"-459.88,830,370.12"
"-459.88,845,385.12"
"-459.88,860,400.12"
"-459.88,875,415.12"
"-459.88,890,430.12"
"-459.88,905,445.12"
"-459.88,920,460.12"
"-459.88,935,475.12"
"-459.88,950,490.12"
"-459.88,965,505.12"
"-459.88,980,520.12"
"-459.88,995,535.12"
"-459.88,1010,550.12"
"-459.88,1025,565.12"
"-459.88,1040,580.12"
"-459.88,1055,595.12"
"-459.88,1070,610.12"
"-459.88,1085,625.12"
"-459.88,1100,640.12"
"-459.88,1115,655.12"
"-459.88,1130,670.12"
"-459.88,1145,685.12"
"-459.88,1160,700.12"
"-459.88,1175,715.12"
"-459.88,1190,730.12"
"-459.88,1205,745.12"
"-459.88,1220,760.12"
"-459.88,1235,775.12"
"-459.88,1250,790.12"
"-459.88,1265,805.12"
"-459.88,1280,820.12"
"-459.88,1295,835.12"
"-459.88,1310,850.12"
"-459.88,1325,865.12"
"-459.88,1340,880.12"
"-459.88,1355,895.12"
"-459.88,1370,910.12"
"-459.88,1385,925.12"
"-459.88,1400,940.12"
"-459.88,1415,955.12"
"-459.88,1430,970.12"
"-459.88,1445,985.12"
"-459.88,1460,1000.12"
"-459.88,1475,1015.12"
"-459.88,1490,1030.12"
"-459.88,1505,1045.12"
"-459.88,1520,1060.12"
"-459.88,1535,1075.12"
"-459.88,1550,1090.12"
"-459.88,1565,1105.12"
"-459.88,1580,1120.12"
"-459.88,1595,1135.12"
"-459.88,1610,1150.12"
"-459.88,1625,1165.12"
"-459.88,1640,1180.12"
"-459.88,1655,1195.12"
"-459.88,1670,1210.12"
"-459.88,1685,1225.12"
"-459.88,1700,1240.12"
"-459.88,1715,1255.12"
"-459.88,1730,1270.12"
"-459.88,1745,1285.12"
"-459.88,1760,1300.12"
"-459.88,1775,1315.12"
"-459.88,1790,1330.12"
"-459.88,1805,1345.12"
"-459.88,1820,1360.12"
"-459.88,1835,1375.12"
"-459.88,1850,1390.12"
"-459.88,1865,1405.12"
"-459.88,1880,1420.12"
"-459.88,1895,1435.12"
"-459.88,1910,1450.12"
"-459.88,1925,1465.12"
"-459.88,1940,1480.12"
"-459.88,1955,1495.12"
"-459.88,1970,1510.12"
"-459.88,1985,1525.12"
"-459.88,2000,1540.12"
"-459.88,2015,1555.12"
"-459.88,2030,1570.12"
"-459.88,2045,1585.12"
"-459.88,2060,1600.12"
"-459.88,2075,1615.12"
"-459.88,2090,1630.12"
"-459.88,2105,1645.12"
"-459.88,2120,1660.12"
"-459.88,2135,1675.12"
"-459.88,2150,1690.12"
"-459.88,2165,1705.12"
"-459.88,2180,1720.12"
"-459.88,2195,1735.12"
"-459.88,2210,1750.12"
"-459.88,2225,1765.12"
"-459.88,2240,1780.12"
"-459.88,2255,1795.12"
"-459.88,2270,1810.12"
"-459.88,2285,1825.12"
"-459.88,2300,1840.12"
"-459.88,2315,1855.12"
"-459.88,2330,1870.12"
"-459.88,2345,1885.12"
"-459.88,2360,1900.12"
"-459.88,2375,1915.12"
"-459.88,2390,1930.12"
"-459.88,2405,1945.12"
"-459.88,2420,1960.12"
"-459.88,2435,1975.12"
"-459.88,2450,1990.12"
"-459.88,2465,2005.12"
"-459.88,2480,2020.12"
"-459.88,2495,2035.12"
"-459.88,2510,2050.12"
"-459.88,2525,2065.12"
"-459.88,2540,2080.12"
"-459.88,2555,2095.12"
