"yaw [deg], yaw_time [ms], yaw_crc"
"2.84,3544,3546.84"
"2.84,3559,3561.84"
"2.84,3574,3576.84"
"2.84,3589,3591.84"
"2.84,3604,3606.84"
"2.84,3619,3621.84"
"2.84,3634,3636.84"
"2.84,3649,3651.84"
"2.84,3664,3666.84"
"2.84,3679,3681.84"
"2.84,3694,3696.84"
"2.83,3709,3711.83"
"2.83,3724,3726.83"
"2.83,3739,3741.83"
"2.83,3754,3756.83"
"2.83,3769,3771.83"
"2.83,3784,3786.83"
"2.83,3799,3801.83"
"2.84,3814,3816.84"
"2.84,3829,3831.84"
"2.84,3844,3846.84"
"2.84,3859,3861.84"
"2.84,3874,3876.84"
"2.84,3889,3891.84"
"2.84,3904,3906.84"
"2.84,3919,3921.84"
"2.84,3934,3936.84"
"2.84,3949,3951.84"
"2.84,3964,3966.84"
"2.84,3979,3981.84"
"2.84,3994,3996.84"
"2.84,4009,4011.84"
"2.84,4024,4026.84"
"2.84,4039,4041.84"
"2.84,4054,4056.84"
"2.84,4069,4071.84"
"2.84,4084,4086.84"
"2.84,4099,4101.84"
"2.84,4114,4116.84"
"2.84,4129,4131.84"
"2.84,4144,4146.84"
"2.84,4159,4161.84"
"2.84,4174,4176.84"
"2.84,4189,4191.84"
"2.84,4204,4206.84"
"2.84,4219,4221.84"
"2.84,4234,4236.84"
"2.84,4249,4251.84"
"2.84,4264,4266.84"
"2.84,4279,4281.84"
"2.84,4294,4296.84"
"2.84,4309,4311.84"
"2.84,4324,4326.84"
"2.84,4339,4341.84"
"2.84,4354,4356.84"
"2.84,4369,4371.84"
"2.84,4384,4386.84"
"2.84,4399,4401.84"
"2.84,4414,4416.84"
"2.84,4429,4431.84"
"2.84,4444,4446.84"
"2.84,4459,4461.84"
"2.84,4474,4476.84"
"2.84,4489,4491.84"
"2.84,4504,4506.84"
"2.84,4519,4521.84"
"2.84,4534,4536.84"
"2.84,4549,4551.84"
"2.84,4564,4566.84"
"2.84,4579,4581.84"
"2.84,4594,4596.84"
"2.84,4609,4611.84"
"2.84,4624,4626.84"
"2.84,4639,4641.84"
"2.84,4654,4656.84"
"2.84,4669,4671.84"
"2.84,4684,4686.84"
"2.84,4699,4701.84"
"2.84,4714,4716.84"
"2.84,4729,4731.84"
"2.84,4744,4746.84"
"2.85,4759,4761.85"
"2.85,4774,4776.85"
"2.85,4789,4791.85"
"2.85,4804,4806.85"
"2.85,4819,4821.85"
"2.85,4834,4836.85"
"2.86,4849,4851.86"
"2.86,4864,4866.86"
"2.87,4879,4881.87"
"2.87,4894,4896.87"
"2.87,4909,4911.87"
"2.87,4924,4926.87"
"2.87,4939,4941.87"
"2.87,4954,4956.87"
"2.87,4969,4971.87"
"2.87,4984,4986.87"
"2.86,4999,5001.86"
"2.86,5014,5016.86"
"2.86,5029,5031.86"
"2.85,5044,5046.85"
"2.84,5059,5061.84"
"2.84,5074,5076.84"
"2.83,5089,5091.83"
"2.83,5104,5106.83"
"2.82,5119,5121.82"
"2.81,5134,5136.81"
"2.81,5149,5151.81"
"2.80,5164,5166.80"
"2.80,5179,5181.80"
"2.79,5194,5196.79"
"2.78,5209,5211.78"
"2.78,5224,5226.78"
"2.78,5239,5241.78"
"2.78,5254,5256.78"
"2.78,5269,5271.78"
"2.78,5284,5286.78"
"2.79,5299,5301.79"
"2.79,5314,5316.79"
"2.79,5329,5331.79"
"2.80,5344,5346.80"
"2.80,5359,5361.80"
"2.80,5374,5376.80"
"2.81,5389,5391.81"
"2.83,5404,5406.83"
"2.84,5419,5421.84"
"2.87,5434,5436.87"
"2.89,5449,5451.89"
"2.90,5464,5466.90"
"2.91,5479,5481.91"
"2.92,5494,5496.92"
"2.94,5509,5511.94"
"2.97,5524,5526.97"
"3.01,5539,5542.01"
"3.03,5554,5557.03"
"3.06,5569,5572.06"
"3.07,5584,5587.07"
"3.09,5599,5602.09"
"3.09,5614,5617.09"
"3.09,5629,5632.09"
"3.08,5644,5647.08"
"3.08,5659,5662.08"
"3.07,5674,5677.07"
"3.07,5689,5692.07"
"3.07,5704,5707.07"
"3.06,5719,5722.06"
"3.06,5734,5737.06"
"3.06,5749,5752.06"
"3.06,5764,5767.06"
"3.06,5779,5782.06"
"3.06,5794,5797.06"
"3.06,5809,5812.06"
"3.06,5824,5827.06"
"3.06,5839,5842.06"
"3.06,5854,5857.06"
"3.05,5869,5872.05"
"3.05,5884,5887.05"
"3.03,5899,5902.03"
"3.01,5914,5917.02"
"3.00,5929,5932.00"
"2.99,5944,5946.99"
"2.97,5959,5961.97"
"2.95,5974,5976.95"
"2.93,5989,5991.93"
"2.92,6004,6006.92"
"2.91,6019,6021.91"
"2.90,6034,6036.90"
"2.88,6049,6051.88"
"2.88,6064,6066.88"
"2.87,6079,6081.87"
"2.86,6094,6096.86"
"2.85,6109,6111.85"
"2.85,6124,6126.85"
"2.85,6139,6141.85"
"2.85,6154,6156.85"
"2.86,6169,6171.86"
"2.87,6184,6186.87"
"2.88,6199,6201.88"
"2.89,6214,6216.89"
"2.91,6229,6231.91"
"2.92,6244,6246.92"
"2.93,6259,6261.93"
"2.94,6274,6276.94"
"2.95,6289,6291.95"
"2.97,6304,6306.97"
"2.98,6319,6321.98"
"2.99,6334,6336.99"
"2.99,6349,6351.99"
"3.00,6364,6367.00"
"3.01,6379,6382.01"
"3.01,6394,6397.01"
"3.01,6409,6412.02"
"3.01,6424,6427.02"
"3.02,6439,6442.02"
"3.02,6454,6457.02"
"3.02,6469,6472.02"
"3.02,6484,6487.02"
"3.02,6499,6502.02"
"3.02,6514,6517.02"
"3.02,6529,6532.02"
"3.01,6544,6547.02"
"3.01,6559,6562.01"
"3.00,6574,6577.00"
"3.00,6589,6592.00"
"3.00,6604,6607.00"
"3.00,6619,6622.00"
"3.01,6634,6637.02"
"3.02,6649,6652.02"
"3.05,6664,6667.05"
"3.06,6679,6682.06"
"3.08,6694,6697.08"
"3.09,6709,6712.09"
"3.10,6724,6727.10"
"3.10,6739,6742.10"
"3.10,6754,6757.10"
"3.10,6769,6772.10"
"3.09,6784,6787.09"
"3.08,6799,6802.08"
"3.07,6814,6817.07"
"3.06,6829,6832.06"
"3.04,6844,6847.04"
"3.03,6859,6862.03"
"3.02,6874,6877.02"
"3.01,6889,6892.02"
"3.01,6904,6907.02"
"3.01,6919,6922.02"
"3.01,6934,6937.02"
"3.01,6949,6952.02"
"3.02,6964,6967.02"
"3.03,6979,6982.03"
"3.04,6994,6997.04"
"3.05,7009,7012.05"
"3.05,7024,7027.05"
"3.05,7039,7042.05"
"3.05,7054,7057.05"
"3.05,7069,7072.05"
"3.05,7084,7087.05"
"3.04,7099,7102.04"
"3.04,7114,7117.04"
"3.04,7129,7132.04"
"3.03,7144,7147.03"
"3.03,7159,7162.03"
"3.03,7174,7177.03"
"3.03,7189,7192.03"
"3.03,7204,7207.03"
"3.03,7219,7222.03"
"3.03,7234,7237.03"
"3.03,7249,7252.03"
"3.04,7264,7267.04"
"3.04,7279,7282.04"
"3.04,7294,7297.04"
"3.04,7309,7312.04"
"3.04,7324,7327.04"
"3.04,7339,7342.04"
"3.04,7354,7357.04"
"3.04,7369,7372.04"
"3.04,7384,7387.04"
"3.04,7399,7402.04"
"3.03,7414,7417.03"
"3.02,7429,7432.02"
"3.02,7444,7447.02"
"3.01,7459,7462.02"
"3.01,7474,7477.02"
"3.01,7489,7492.02"
"3.01,7504,7507.02"
"3.01,7519,7522.02"
"3.01,7534,7537.02"
"3.01,7549,7552.02"
"3.01,7564,7567.02"
"3.01,7579,7582.02"
"3.01,7594,7597.02"
"3.01,7609,7612.02"
"3.01,7624,7627.02"
"3.01,7639,7642.02"
"3.01,7654,7657.02"
"3.01,7669,7672.02"
"3.01,7684,7687.02"
"3.01,7699,7702.02"
"3.02,7714,7717.02"
"3.02,7729,7732.02"
"3.02,7744,7747.02"
"3.02,7759,7762.02"
"3.02,7774,7777.02"
"3.02,7789,7792.02"
"3.02,7804,7807.02"
"3.02,7819,7822.02"
"3.02,7834,7837.02"
"3.02,7849,7852.02"
"3.02,7864,7867.02"
"3.02,7879,7882.02"
"3.02,7894,7897.02"
"3.02,7909,7912.02"
"3.02,7924,7927.02"
"3.02,7939,7942.02"
"3.02,7954,7957.02"
"3.02,7969,7972.02"
"3.02,7984,7987.02"
"3.02,7999,8002.02"
"3.02,8014,8017.02"
"3.02,8029,8032.02"
"3.02,8044,8047.02"
"3.02,8059,8062.02"
"3.02,8074,8077.02"
"3.02,8089,8092.02"
"3.02,8104,8107.02"
"3.02,8119,8122.02"
"3.01,8134,8137.02"
"3.01,8149,8152.02"
"3.01,8164,8167.02"
"3.01,8179,8182.02"
"3.01,8194,8197.01"
"3.01,8209,8212.01"
"3.01,8224,8227.01"
"3.01,8239,8242.01"
"3.01,8254,8257.01"
"3.01,8269,8272.01"
"3.01,8284,8287.01"
"3.00,8299,8302.00"
"3.00,8314,8317.00"
"3.00,8329,8332.00"
"3.00,8344,8347.00"
"3.00,8359,8362.00"
"3.00,8374,8377.00"
"3.00,8389,8392.00"
"3.00,8404,8407.00"
"3.00,8419,8422.00"
"3.00,8434,8437.00"
"3.00,8449,8452.00"
"3.00,8464,8467.00"
"3.00,8479,8482.00"
"3.00,8494,8497.00"
"3.00,8509,8512.00"
"3.00,8524,8527.00"
"3.00,8539,8542.00"
"3.00,8554,8557.00"
"3.00,8569,8572.00"
"3.00,8584,8587.00"
"3.00,8599,8602.00"
"3.00,8614,8617.00"
"3.00,8629,8632.00"
"3.00,8644,8647.00"
"3.00,8659,8662.00"
"3.00,8674,8677.00"
"3.00,8689,8692.00"
"3.00,8704,8707.00"
